,id,title,city,quarter,price,qm,n_room,n_page,price_per_qm
68,109813508,Kapitalanlage unweit der Warschauer Straße! 2-Zimmer-Altbau-Wohnung in Friedrichshain!,Berlin,Friedrichshain (Friedrichshain),259700.0,63.0,2.0,4,4122.2
69,114633098,Bezugsfrei! Sanierte 1-Zimmer-Altbau-Wohnung mit Einbauküche und Waschmaschine!,Berlin,Prenzlauer Berg (Prenzlauer Berg),265000.0,52.01,1.0,4,5095.2
70,115185521,2-Zimmer-Altbauwohnung zum Selbstbezug mit repräsentativem Erker - provisionsfrei!,Berlin,Friedrichshain (Friedrichshain),339000.0,57.69,2.0,4,5876.2
71,114281597,Am Alex: vermietete 5 Zi-Wohnung -  provisionsfrei,Berlin,Mitte (Mitte),399500.0,83.49,5.0,4,4785.0
72,110668285,Bezugsfreies 3- Zi- Appartement - zwischen Hackescher Markt und Alexanderplatz - provisionsfrei,Berlin,Mitte (Mitte),435000.0,74.02,3.0,4,5876.8
73,106178002,IMMERGRÜN Berlin-Pankow - Neue Stadtwohnungen - provisionsfrei,Berlin,Pankow (Pankow),279500.0,43.51,1.5,4,6423.8
74,114782191,3-Zimmer - unvermietet - am Alexanderplatz - renovierunsgbedürftig - provisionsfrei,Berlin,Mitte (Mitte),299500.0,54.25,3.0,4,5520.7
75,96517602,Im 13. Geschoss des GRANDAIRE Berlin-Mitte - provisionsfrei,Berlin,Mitte (Mitte),459500.0,53.5,2.0,4,8588.8
76,114436160,Effizientes Raumwunder für Familien - mit Weitblick,Berlin,Plänterwald (Treptow),559000.0,98.51,4.0,4,5674.6
77,115306377,Der Himmel über Kreuzberg: Dachneubau mit Rooftop und Spa Terrassen,Berlin,Kreuzberg (Kreuzberg),3281960.0,298.36,5.0,4,11000.0
78,115293567,Altbauwohnung im beliebten Kudamm-Kiez,Berlin,Charlottenburg (Charlottenburg),1170000.0,168.0,5.0,4,6964.3
79,114182758,Möbliertes 1-Zimmer-Apartment in Friedrichshain zur Kapitalanlage inkl. Küchenzeile und Loggia,Berlin,Friedrichshain (Friedrichshain),194000.0,30.51,1.0,4,6358.6
80,112032057,Modernes Apartment mit durchdachtem Grundriss und hochwertiger Ausstattung – ideal zur Kapitalanlage,Berlin,Friedrichshain (Friedrichshain),216000.0,30.24,1.0,5,7142.9
81,112032045,Apartment mit Loggia und moderner Ausstattung in Friedrichshain als renditestarke Kapitalanlage,Berlin,Friedrichshain (Friedrichshain),208900.0,30.0,1.0,5,6963.3
82,115438379,TOP-LAGE IN DAHLEM! MODERNE 3 ZI. WOHNUNG UNWEIT DREIPFUHLPARK,Berlin,Zehlendorf (Zehlendorf),730000.0,96.31,3.0,5,7579.7
