,id,title,city,quarter,price,qm,n_room,n_page,price_per_qm
84,114508589,Traumhafte 4-Zimmer-Wohnung mit 2 Bädern und Balkon in bester Lage Berlins,Berlin,Tiergarten (Tiergarten),1009500.0,151.96,4.0,5,6643.2
85,114452275,Penthouse mit 4 Zimmern und 3 Terrassen in jede Himmelsrichtung über den Dächern Berlins,Berlin,Tiergarten (Tiergarten),1799500.0,165.42,4.0,5,10878.4
86,114452167,Urbaner Wohngenuss! PENTHOUSE mit 3 Terrassen und 2 Bädern in Bestlage,Berlin,Tiergarten (Tiergarten),1499500.0,132.86,3.0,5,11286.3
87,114447726,Einziehen und genießen! 2-Zimmer-Wohnung mit Balkon zum Wohlfühlen,Berlin,Tiergarten (Tiergarten),429500.0,61.09,2.0,5,7030.6
88,114445856,Tolle Lage & optimal geschnitten! Moderne 2-Zimmer-Wohnung im Herzen der Stadt,Berlin,Tiergarten (Tiergarten),429500.0,60.24,2.0,5,7129.8
89,114445426,Zentral und doch mit Rückzugsmöglichkeiten! Elegante 3-Zimmer-Wohnung und Balkon mit Gartenblick,Berlin,Tiergarten (Tiergarten),609900.0,83.28,3.0,5,7323.5
90,114445301,Cityapartment mit höchstem Wohnkomfort in absolut zentraler Lage!,Berlin,Tiergarten (Tiergarten),439500.0,57.63,2.0,5,7626.2
91,114445004,Wohnen im SCHOENEGARTEN! Ideal geschnittene 2-Zimmer-Wohnung mit Balkon,Berlin,Tiergarten (Tiergarten),509500.0,70.94,2.0,5,7182.1
92,114621124,6-Zimmer-Wohnung in herrschaftlichem Baudenkmal,Berlin,Wilmersdorf (Wilmersdorf),1290000.0,208.0,6.0,5,6201.9
93,114900565,Historische Altbauwohnung im Herzen Grunewalds,Berlin,Grunewald (Wilmersdorf),750000.0,87.0,3.0,5,8620.7
94,109642873,"Einzigartige 4-Zimmer Familienwohnung mit zwei Terassen und Kamin
Prenzlauer Berg - Bötzowkiez",Berlin,Prenzlauer Berg (Prenzlauer Berg),1995000.0,187.5,4.0,5,10640.0
95,115345854,Einzigartige Aussicht: ÜBERLIN,Berlin,Steglitz (Steglitz),641000.0,59.07,2.0,5,10851.5
96,115201005,Wohnen in Berliner Landmark - ÜBERLIN TOWER,Berlin,Steglitz (Steglitz),683000.0,89.14,3.0,5,7662.1
97,114977935,City-Apartment: Wohnen in einer neuen Dimension,Berlin,Steglitz (Steglitz),782000.0,77.73,3.0,5,10060.5
98,114744387,ÜBERLIN TOWER - Wohnen in Berliner Landmark mit eigener Dachterrasse,Berlin,Steglitz (Steglitz),769000.0,102.9,3.0,5,7473.3
99,114558936,ÜBERLIN - zukunftsweisendes Wohnen in einer Architekturikone,Berlin,Steglitz (Steglitz),910000.0,90.55,3.0,5,10049.7
100,114081637,Hoher Wohnkomfort im ÜBERLIN - Ihr City-Apartment!,Berlin,Steglitz (Steglitz),418000.0,53.33,1.0,6,7838.0
101,114012455,City-Apartment im ÜBERLIN - zukunftsorientiert mit hohem Wohnkomfort!,Berlin,Steglitz (Steglitz),466000.0,64.64,2.0,6,7209.2
102,113806490,ÜBERLIN: Wohnen in einer neuen Dimension,Berlin,Steglitz (Steglitz),693000.0,94.03,2.0,6,7370.0
103,113805983,Leben mit Ausblick - Eigentum über der Hauptstadt,Berlin,Steglitz (Steglitz),737000.0,77.73,3.0,6,9481.5
104,113805937,Über Berlin im ÜBERLIN Tower - Eigentum über der Hauptstadt,Berlin,Steglitz (Steglitz),927000.0,81.12,2.5,6,11427.5
105,113805770,Ihr Stück Architekturikone: Eigentumswohnung im ÜBERLIN-TOWER,Berlin,Steglitz (Steglitz),793000.0,80.38,2.0,6,9865.6
106,113780956,Sie wollen hoch hinaus? ÜBERLIN bietet all das,Berlin,Steglitz (Steglitz),683000.0,90.55,3.0,6,7542.8
107,115026757,Freundliche 2-Zi.-Wohnung mit Balkon in einzigartiger Lage - Provisionsfrei - direkt vom Bauträger,Berlin,Kreuzberg (Kreuzberg),426000.0,55.0,2.0,6,7745.5
108,115026658,Wohnoase trifft Szenebezirk! Tolle 2-Zi.-Etagenwohnung mit ca. 30 m² großer Terrasse im Gräfekiez,Berlin,Kreuzberg (Kreuzberg),460000.0,68.0,2.0,6,6764.7
109,114637601,Willkommen im Herzen Kreuzbergs! Moderne 2-Zi.-Wohnung mit Idealgrundriss und Balkon,Berlin,Kreuzberg (Kreuzberg),382000.0,50.99,2.0,6,7491.7
110,113671641,Echt Kreuzberg. Echt BUWOG XBERG LIVING. Tolles 2-Zi.-PENTHOUSE mit On-Top-Dachterrasse,Berlin,Kreuzberg (Kreuzberg),581000.0,75.34,2.0,6,7711.7
111,113671542,"Einzigartiges PENTHOUSE mit herrlichem Wohnbereich, Terrasse und On-Top-Dachterrasse in Trendlage",Berlin,Kreuzberg (Kreuzberg),995000.0,126.83,3.0,6,7845.1
112,113671141,3-Zi.-Wohnung mit kommunikativem Wohn-/Ess-/Kochbereich und West-Balkon in Bestlage! Provisionsfrei!,Berlin,Kreuzberg (Kreuzberg),641000.0,78.19,3.0,6,8198.0
113,113670258,Barrierefreie Gartenwohnung - Urbanes Leben und Privatsphäre mitten im kreativen Hotspot Berlins,Berlin,Kreuzberg (Kreuzberg),323000.0,50.48,2.0,6,6398.6
114,113669678,My City. My Yard. My Home. - Barrierefreie Gartenwohnung im Herzen Kreuzbergs - Provisionsfrei,Berlin,Kreuzberg (Kreuzberg),496000.0,73.06,3.0,6,6788.9
115,114969719,"1-Zimmer-Single-Wohnung mit Südwest-Loggia, Bestlage in Berlin-Tiergarten",Berlin,Tiergarten (Tiergarten),279000.0,47.81,1.0,6,5835.6
116,114969716,Effizient geschnittenes Mikro-Apartment mit Loggia und viel Licht,Berlin,Tiergarten (Tiergarten),259000.0,47.81,1.0,6,5417.3
117,114969710,In bester Lage in Tiergarten: kernsanierte 3-Zimmer-Wohnung mit Loggia,Berlin,Tiergarten (Tiergarten),489000.0,75.6,3.0,6,6468.3
118,114969702,"Kernsanierte 3-Zimmer-Wohnung, mit Loggia, in bester Lage in Berlin-Tiergarten",Berlin,Tiergarten (Tiergarten),479000.0,75.6,3.0,6,6336.0
119,114969698,Luxus-Penthouse mit zwei Dachterrassen in bester Lage in Berlin-Tiergarten,Berlin,Tiergarten (Tiergarten),849000.0,82.25,2.0,6,10322.2
120,114894762,2-Zimmer-Eigentumswohnung im schönen Berlin-Grunewald - absolute Ruhelage!,Berlin,Grunewald (Wilmersdorf),380000.0,74.58,2.0,7,5095.2
121,112998063,Gepflegte Dachgeschosswohnung mit ca. 70 m² großer Aufdachterrasse in der City-West,Berlin,Wilmersdorf (Wilmersdorf),349900.0,67.55,2.0,7,5179.9
122,112923880,Gepflegte Altbauwohnung mit klassischen Stilelementen und Balkon mit Blick auf den Weinbergsweg,Berlin,Mitte (Mitte),499000.0,82.6,2.0,7,6041.2
123,111838523,Neubau - Dachgeschosswohnung mit Sonnenterrasse im Westfälischen Viertel,Berlin,Tiergarten (Tiergarten),1399000.0,205.9,5.0,7,6794.6
124,111758112,Altbauwohnung nahe Volkspark Friedrichshain // Vermietet ohne Vorkaufsrecht + ohne Sperrfrist,Berlin,Friedrichshain (Friedrichshain),221200.0,47.94,1.0,7,4614.1
125,114329977,**Solide Kapitalanlage** in gefragter Kiez-Lage in Köpenick,Berlin,Köpenick (Köpenick),100000.0,28.74,2.0,7,3479.5
126,114900071,Traumhafter Blick über Pankow - ein Dachgeschoss unterm Sternenhimmel,Berlin,Pankow (Pankow),750000.0,131.6,3.0,7,5699.1
127,114881856,Frisch sanierte 3-Zimmer-Wohnung in top erhaltenem Altbau im Herzen von Berlin-Friedrichshain!,Berlin,Friedrichshain (Friedrichshain),893716.0,119.55,3.0,7,7475.7
128,115411343,Inselparadies in der Großstadt - exklusive 3 Zimmerwohnung,Berlin,Tegel (Reinickendorf),625000.0,106.9,3.0,7,5846.6
129,110620140,Kapitalanlage! Vermietete 2-Zimmer-Altbau-Wohnung mit Wertsteigerungspotential in Friedrichshain!,Berlin,Friedrichshain (Friedrichshain),221556.0,59.88,2.0,7,3700.0
130,113875428,Hier werden Ihre Träume wahr - Sichern Sie sich Ihre Penthouse Wohnung!,Berlin,Karlshorst (Lichtenberg),949000.0,145.0,3.0,7,6544.8
