Jahr,Bundesland,Beförderte Personen,Beförderungsleistung,Fahrleistung,Bevölkerung,Fläche,Bevölkerungsdichte,Neue Länder,Stadtstaaten
2011,Sachsen,454051565,4623811727,205650491,4057000,18450,219.89159891598916,1,0
2011,Sachsen-Anhalt,167770282,2051865004,111331903,2286000,20452,111.7739096420888,1,0
2011,Schleswig-Holstein,229744630,2982310304,131074592,2800000,15802,177.19276041007467,0,0
2011,Thüringen,163749214,1954754239,110969286,2187000,16202,134.9833353906925,1,0
2012,Baden-Württemberg,1182915032,11037903668,455840009,10541000,35674,295.48130290968214,0,0
2012,Bayern,1343586210,14973000227,624143624,12480000,70542,176.9158799013354,0,0
2012,Berlin,1357652374,9453275392,191530494,3348000,891,3757.5757575757575,0,1
2012,Brandenburg,134000933,1775635092,107979964,2451000,29654,82.65326768732717,1,0
2012,Bremen,152782537,1080528211,60100919,653000,420,1554.7619047619048,0,1
2012,Hamburg,703864619,4437862992,114934362,1726000,755,2286.092715231788,0,1
2012,Hessen,1680834631,34588334452,650627857,6005000,21116,284.3815116499337,0,0
2012,Mecklenburg-Vorpommern,116472060,1804252320,94524025,1603000,23293,68.81895848538187,1,0
2012,Niedersachsen,626825957,8728311369,331641214,7778000,47710,163.02661915740936,0,0
2012,Nordrhein-Westfalen,2496397806,24071408879,734986182,17547000,34113,514.3786826136663,0,0
2012,Rheinland-Pfalz,219967858,3253313853,160396353,3990000,19858,200.92657870883272,0,0
2012,Saarland,95634968,1111251086,57002055,996000,2571,387.3978996499417,0,0
2012,Sachsen,457610173,4620378447,204312574,4049000,18450,219.4579945799458,1,0
2012,Sachsen-Anhalt,168324274,2120711083,115120783,2267000,20452,110.84490514375122,1,0
2012,Schleswig-Holstein,160965503,2624188625,112224361,2804000,15802,177.4458929249462,0,0
2012,Thüringen,162894187,1786698975,112529285,2175000,16202,134.24268608813728,1,0
2013,Baden-Württemberg,1188974497,10929737592,449630877,10599000,35674,297.1071368503672,0,0
2013,Bayern,1342223788,14862470241,629511633,12556000,70542,177.99325224688837,0,0
2013,Berlin,1378132861,10431898769,214952616,3396000,891,3811.4478114478115,0,1
2013,Brandenburg,134433931,1767271657,105854995,2448000,29654,82.55210089701221,1,0
2013,Bremen,152508214,1104417851,60472872,655000,420,1559.5238095238096,0,1
2013,Hamburg,707374657,4556365899,112760987,1743000,755,2308.609271523179,0,1
2013,Hessen,1996710222,42632766757,717499902,6028000,21116,285.4707330933889,0,0
2013,Mecklenburg-Vorpommern,127565306,2510165051,99308908,1598000,23293,68.60430172154724,1,0
2013,Niedersachsen,651354684,8922024526,338791325,7784000,47710,163.15237895619367,0,0
2013,Nordrhein-Westfalen,2206341357,16617387813,701275071,17553000,34113,514.5545686395216,0,0
2013,Rheinland-Pfalz,232856259,3276172105,150653822,3991000,19858,200.97693624735624,0,0
2013,Saarland,95854982,1030879620,53579584,992000,2571,385.84208479190977,0,0
2013,Sachsen,463353729,4662928495,206370825,4044000,18450,219.1869918699187,1,0
2013,Sachsen-Anhalt,165845138,2000673404,111397654,2250000,20452,110.01369059260708,1,0
2013,Schleswig-Holstein,163992227,2725144709,110499297,2810000,15802,177.82559169725351,0,0
2013,Thüringen,165907403,1903435950,113884714,2164000,16202,133.56375756079495,1,0
2014,Baden-Württemberg,1216674068,11415154219,470914635,10666000,35674,298.98525536805516,0,0
2014,Bayern,1383673665,16499189682,675476810,12643000,70542,179.22656006350826,0,0
2014,Berlin,1422005432,11826114757,269417459,3443000,891,3864.1975308641977,0,1
2014,Brandenburg,137243354,1628830632,100466915,2449000,29654,82.58582316045053,1,0
2014,Bremen,151872993,1081449517,59524711,659000,420,1569.047619047619,0,1
2014,Hamburg,703880137,4516059840,114783931,1762000,755,2333.774834437086,0,1
2014,Hessen,2069447338,44006889232,728780842,6059000,21116,286.9388141693503,0,0
2014,Mecklenburg-Vorpommern,127414226,2207326736,90113658,1594000,23293,68.43257631047955,1,0
2014,Niedersachsen,629031622,8648668091,340888640,7799000,47710,163.46677845315446,0,0
2014,Nordrhein-Westfalen,2216337728,17311403797,714319725,17579000,34113,515.3167414182277,0,0
2014,Rheinland-Pfalz,238739314,2962690443,158687724,3996000,19858,201.2287239399738,0,0
2014,Saarland,91307418,1029486250,54495244,989000,2571,384.67522364838584,0,0
2014,Sachsen,436306043,4222900555,206404079,4045000,18450,219.24119241192412,1,0
2014,Sachsen-Anhalt,163897666,2038545059,112161053,2238000,20452,109.4269509094465,1,0
2014,Schleswig-Holstein,157318846,2617443781,114670260,2819000,15802,178.39513985571446,0,0
2014,Thüringen,161338703,1650385088,106453774,2156000,16202,133.06999135909146,1,0
2015,Baden-Württemberg,1210101521,10969226250,471888400,10766000,35674,301.7884173347536,0,0
2015,Bayern,1369239418,16851783653,680386917,12735000,70542,180.530747639704,0,0
2015,Berlin,1450315222,13581788644,293917615,3486000,891,3912.4579124579122,0,1
2015,Brandenburg,132967729,1602989039,99473709,2464000,29654,83.09165711202536,1,0
