;id;title;city;quarter;postcode;street;houseNo;price;qm;n_room;latitude;longitude;privateOffer;marketingType;hasCourtage;n_page_is24;price_per_qm
53;114290396;Einzigartig! Dachgeschoss-Maisonette mit 2 Bädern und großer Terrasse in Traumlage;Berlin;Köpenick (Köpenick);12555;Spreestraße;6;799000.0;137.6;4.0;52.45053;13.57151;false;PURCHASE;NO;3;5806.7
54;114289256;Durchdacht geplante 3-Zi.-Wohnung mit 2 Bädern und Loggia in einzigartiger Lage;Berlin;Köpenick (Köpenick);12555;Spreestraße;8;415000.0;80.9;3.0;52.45043;13.57172;false;PURCHASE;NO;3;5129.8
55;114289033;Tolle 3-Zi.-Wohnung mit Loggia in Köpenick - für Naturliebhaber, Freizeitsportler und Kulturgenießer;Berlin;Köpenick (Köpenick);12555;Spreestraße;10;373000.0;74.6;3.0;52.45035;13.57152;false;PURCHASE;NO;3;5000.0
56;115216375;Gut geschnittene 2-Zimmer-Wohnung im Herzen von Berlin - Erstbezug;Berlin;Friedrichshain (Friedrichshain);10249;Pufendorfstraße;4;379900.0;51.9;2.0;52.52251;13.43898;false;PURCHASE;NO;3;7319.8
57;115216293;Gut geschnittene 4-Zimmer-Neubauwohnung zentral gelegen in Berlin Friedrichshain;Berlin;Friedrichshain (Friedrichshain);10249;Pufendorfstraße;5;708900.0;101.19;4.0;52.52304;13.44003;false;PURCHASE;NO;3;7005.6
58;115216237;Gut geschnittene 2-Zimmer-Neubauwohnung zentral gelegen in Berlin Friedrichshain;Berlin;Friedrichshain (Friedrichshain);10249;Pufendorfstraße;5;429900.0;56.47;2.0;52.52304;13.44003;false;PURCHASE;NO;3;7612.9
59;115216106;Traumhafte 3-Zimmer-Penthousewohnung im Herzen von Berlin - Erstbezug;Berlin;Friedrichshain (Friedrichshain);10249;Pufendorfstraße;4;778900.0;97.35;3.0;52.52248;13.43912;false;PURCHASE;NO;3;8001.0
60;115215977;Gut geschnittene 3-Zimmer-Neubauwohnung in Berlins Mitte;Berlin;Friedrichshain (Friedrichshain);10249;Pufendorfstraße;4;499900.0;72.48;3.0;52.52253;13.43894;false;PURCHASE;NO;4;6897.1
61;115215890;Gut geschnittene 2-Zimmer-Neubauwohnung zentral gelegen in Berlin Friedrichshain;Berlin;Friedrichshain (Friedrichshain);10249;Pufendorfstraße;4;408900.0;55.11;2.0;52.52251;13.43909;false;PURCHASE;NO;4;7419.7
62;114967618;Individuelles Wohnen auf zwei Ebenen: 2-Zimmer-Wohnung mit Balkon und Gäste-WC ;Berlin;Pankow (Pankow);13187;Kreuzstraße;11;399000.0;73.68;2.0;52.56792;13.39725;false;PURCHASE;NO;4;5415.3
63;114012492;Der exklusive Charakter dieser Dachterrasse macht Wohnen zu einem ganz besonderen Erlebnis;Berlin;Friedenau (Schöneberg);12161;Varziner Straße;16, 17;421000.0;59.61;2.0;52.47733;13.32309;false;PURCHASE;NO;4;7062.6
64;113967154;Pure exclusivity on the banks of the River Spree: penthouse with two roof-terraces in Berlin Mitte;Berlin;Mitte (Mitte);10179;Rungestraße;21c;1000000.0;126.73;4.0;52.51242;13.41968;false;PURCHASE;NO;4;7890.8
65;115030532;PROVISIONSFREI! SEHR GUT AUSGESTATTETE, GEPFLEGTE UND BESONDERE WOHNUNG IN SCHÖNEM NEUBAU MIT AUFZUG;Berlin;Weißensee (Weißensee);13086;Heinersdorfer Str.;35;255000.0;58.36;2.0;52.55643;13.43229;false;PURCHASE;NO;4;4369.4
66;114948024;Vermietete, gut geschnittene 3-Zimmer-Wohnung mit Balkon in ausgezeichneter Lage von Neukölln;Berlin;Neukölln (Neukölln);12051;;;295000.0;79.0;3.0;;;false;PURCHASE;YES;4;3734.2
67;109813508;Kapitalanlage unweit der Warschauer Straße! 2-Zimmer-Altbau-Wohnung in Friedrichshain!;Berlin;Friedrichshain (Friedrichshain);10243;Gubener Straße;37;259700.0;63.0;2.0;52.51013;13.45015;false;PURCHASE;YES;4;4122.2
68;114633098;Bezugsfrei! Sanierte 1-Zimmer-Altbau-Wohnung mit Einbauküche und Waschmaschine!;Berlin;Prenzlauer Berg (Prenzlauer Berg);10439;Ibsenstrasse;62;265000.0;52.01;1.0;52.55534;13.41052;false;PURCHASE;YES;4;5095.2
69;115185521;2-Zimmer-Altbauwohnung zum Selbstbezug mit repräsentativem Erker - provisionsfrei!;Berlin;Friedrichshain (Friedrichshain);10245;Lenbachstraße;7;339000.0;57.69;2.0;52.50598;13.46698;false;PURCHASE;NO;4;5876.2
70;114281597;Am Alex: vermietete 5 Zi-Wohnung -  provisionsfrei;Berlin;Mitte (Mitte);10178;Wadzeckstraße;11;399500.0;83.49;5.0;52.52522;13.41834;false;PURCHASE;NO;4;4785.0
71;110668285;Bezugsfreies 3- Zi- Appartement - zwischen Hackescher Markt und Alexanderplatz - provisionsfrei;Berlin;Mitte (Mitte);10178;Rochstraße;9;435000.0;74.02;3.0;52.52234;13.40485;false;PURCHASE;NO;4;5876.8
72;106178002;IMMERGRÜN Berlin-Pankow - Neue Stadtwohnungen - provisionsfrei;Berlin;Pankow (Pankow);13189;Talstr.;4;279500.0;43.51;1.5;52.55493;13.42488;false;PURCHASE;NO;4;6423.8
73;114782191;3-Zimmer - unvermietet - am Alexanderplatz - renovierunsgbedürftig - provisionsfrei;Berlin;Mitte (Mitte);10178;Mollstraße;3;299500.0;54.25;3.0;52.52533;13.41814;false;PURCHASE;NO;4;5520.7
74;96517602;Im 13. Geschoss des GRANDAIRE Berlin-Mitte - provisionsfrei;Berlin;Mitte (Mitte);10179;Voltairestraße;11;459500.0;53.5;2.0;52.51741;13.41611;false;PURCHASE;NO;4;8588.8
75;114436160;Effizientes Raumwunder für Familien - mit Weitblick;Berlin;Plänterwald (Treptow);12437;Eichbuschallee;9D;559000.0;98.51;4.0;52.48302;13.47596;false;PURCHASE;NO;4;5674.6
76;115306377;Der Himmel über Kreuzberg: Dachneubau mit Rooftop und Spa Terrassen;Berlin;Kreuzberg (Kreuzberg);10961;Gneisenaustr.;48;3281960.0;298.36;5.0;52.48949;13.40267;false;PURCHASE;YES;4;11000.0
77;115293567;Altbauwohnung im beliebten Kudamm-Kiez;Berlin;Charlottenburg (Charlottenburg);10629;Niebuhrstr.;10a;1170000.0;168.0;5.0;52.50462;13.31459;false;PURCHASE;YES;4;6964.3
78;114182758;Möbliertes 1-Zimmer-Apartment in Friedrichshain zur Kapitalanlage inkl. Küchenzeile und Loggia;Berlin;Friedrichshain (Friedrichshain);10243;Bossestraße;7;194000.0;30.51;1.0;52.50077;13.46057;false;PURCHASE;NO;4;6358.6
79;112032057;Modernes Apartment mit durchdachtem Grundriss und hochwertiger Ausstattung – ideal zur Kapitalanlage;Berlin;Friedrichshain (Friedrichshain);10243;Bossestraße;7;216000.0;30.24;1.0;52.50077;13.46057;false;PURCHASE;NO;4;7142.9
80;112032045;Apartment mit Loggia und moderner Ausstattung in Friedrichshain als renditestarke Kapitalanlage;Berlin;Friedrichshain (Friedrichshain);10243;Bossestraße;7;208900.0;30.0;1.0;52.50077;13.46057;false;PURCHASE;NO;5;6963.3
81;115438379;TOP-LAGE IN DAHLEM! MODERNE 3 ZI. WOHNUNG UNWEIT DREIPFUHLPARK;Berlin;Zehlendorf (Zehlendorf);14195;;;730000.0;96.31;3.0;;;false;PURCHASE;YES;5;7579.7
82;114218967;SZENEKIEZ - Tolle 2-Zi-Wohnung an der Schlesischen Straße - bezugsfrei;Berlin;Kreuzberg (Kreuzberg);10997;Falckensteinstraße;44a;324500.0;57.45;2.0;52.50015;13.44438;false;PURCHASE;YES;5;5648.4
83;114962731;Smarte Kapitalanlage: Single-Wohnung in Altbau nahe Savignyplatz;Berlin;Charlottenburg (Charlottenburg);10625;;;276822.0;30.4;1.0;;;false;PURCHASE;YES;5;9106.0
84;114693852;Großzügige Eigentumswohnung nahe Savignyplatz – Perfekt für Familien;Berlin;Charlottenburg (Charlottenburg);10625;;;1536210.0;152.1;4.0;;;false;PURCHASE;YES;5;10100.0
85;114693849;Luxussanierte Single-Wohnung in der City West mit High-End-Ausstattung;Berlin;Charlottenburg (Charlottenburg);10625;;;378675.0;38.25;1.0;;;false;PURCHASE;YES;5;9900.0
86;114687081;Wohnen unweit vom Ku‘Damm: Elegant geschnittenes 2-Zimmer-Apartment;Berlin;Charlottenburg (Charlottenburg);10625;;;495188.0;57.58;2.0;;;false;PURCHASE;YES;5;8600.0
87;114656526;Luxuriös leben: Neubau-Penthouse mit einmaliger Dachterrasse mit 360°-Blick nahe Savignyplatz;Berlin;Charlottenburg (Charlottenburg);10625;;;1590030.0;122.31;3.0;;;false;PURCHASE;YES;5;13000.0
88;114656519;Große Familienwohnung, ca. 101 m², mit Südbalkon nahe Savignyplatz;Berlin;Charlottenburg (Charlottenburg);10625;;;955510.0;100.58;4.0;;;false;PURCHASE;YES;5;9500.0
89;114656508;Single-Apartment in kernsaniertem Altbau mit Südbalkon, ca. 51 m²;Berlin;Charlottenburg (Charlottenburg);10625;;;508900.0;50.89;1.0;;;false;PURCHASE;YES;5;10000.0
90;115200882;NAHE SCHLOSSSTRASSE - RUHIG & IDYLLISCH - BEZUGSFREI !;Berlin;Steglitz (Steglitz);12157;Schönhauser Str.;18g;379000.0;75.34;3.0;52.46063;13.33562;false;PURCHASE;YES;5;5030.5
91;115200850;LIEBLINGSLAGE IM STEGLITZER KIEZ - DACHTERRASSE MÖGLICH & FAHRSTUHLOPTION - BEZUGSFREI!;Berlin;Steglitz (Steglitz);12165;Wrangelstr.;10_g;651455.0;136.28;3.0;52.4559;13.31666;false;PURCHASE;NO;5;4780.3
92;115200815;WUNDERSCHÖNER ALTBAU MIT 2 BALKONEN - ZUR ZEIT VERMIETET - NUR 3,57% PROVISION;Berlin;Schöneberg (Schöneberg);10781;Habsburger Str.;8_a;679000.0;170.45;5.0;52.49511;13.35251;false;PURCHASE;YES;5;3983.6
93;115200798;BEGEHRTE KUDAMM NÄHE - IM VORDERHAUS MIT BALKON - BEZUGSFREI !;Berlin;Charlottenburg (Charlottenburg);10789;Nürnberger Straße;27_a;679000.0;112.0;3.0;52.50054;13.33601;false;PURCHASE;YES;5;6062.5
94;115200771;GROSSZÜGIGER SCHNITT MIT BALKON - BEZUGSFREI - NUR 3,57% PROVISION;Berlin;Tiergarten (Tiergarten);10555;Alt-Moabit;73b;449000.0;91.96;3.0;52.52385;13.33259;false;PURCHASE;YES;5;4882.6
95;112832892;Mein Rückzugsort – Dachterrassenwohnung mt großzügigen Zimmern und Echtholzparkett;Berlin;Spandau (Spandau);13585;Schönwalder Straße;61;449000.0;82.72;3.0;52.55234;13.19929;false;PURCHASE;NO;5;5427.9
96;111535767;"***Neubauprojekt ""Wilhelmsaue 32"" im schönen Wilmersdorf - direkt vom Bauträger, keine Provision!***";Berlin;Wilmersdorf (Wilmersdorf);10713;Wilhelmsaue;32;1009130.0;149.23;5.0;52.48553;13.31919;false;PURCHASE;NO;5;6762.2
97;111535292;***Penthouse im schönen Wilmersdorf - direkt vom Bauträger, keine Provision!***;Berlin;Wilmersdorf (Wilmersdorf);10713;Wilhelmsaue;32;1205619.0;141.1;4.0;52.48553;13.31919;false;PURCHASE;NO;5;8544.4
98;111534750;"***Neubauprojekt ""Wilhelmsaue 32"" im schönen Wilmersdorf - direkt vom Bauträger, keine Provision!***";Berlin;Wilmersdorf (Wilmersdorf);10713;Wilhelmsaue;32;503509.0;67.37;3.0;52.48553;13.31919;false;PURCHASE;NO;5;7473.8
99;107133535;"***Neubauprojekt ""Wilhelmsaue 32"" im schönen Wilmersdorf - direkt vom Bauträger, keine Provision!***";Berlin;Wilmersdorf (Wilmersdorf);10713;Wilhelmsaue;32;732780.0;115.24;3.0;52.48553;13.31919;false;PURCHASE;NO;5;6358.7
100;107133228;"***Neubauprojekt ""Wilhelmsaue 32"" im schönen Wilmersdorf - direkt vom Bauträger, keine Provision!***";Berlin;Wilmersdorf (Wilmersdorf);10713;Wilhelmsaue;32;1127480.0;144.28;4.0;52.48553;13.31919;false;PURCHASE;NO;6;7814.5
101;106049489;"***Neubauprojekt ""Wilhelmsaue 32"" im schönen Wilmersdorf - direkt vom Bauträger, keine Provision!***";Berlin;Wilmersdorf (Wilmersdorf);10713;Wilhelmsaue;32;397770.0;51.56;1.0;52.48553;13.31919;false;PURCHASE;NO;6;7714.7
102;106049451;"***Neubauprojekt ""Wilhelmsaue 32"" im schönen Wilmersdorf - direkt vom Bauträger, keine Provision!***";Berlin;Wilmersdorf (Wilmersdorf);10713;Wilhelmsaue;32;288830.0;31.62;1.0;52.48553;13.31919;false;PURCHASE;NO;6;9134.4
103;106049318;"***Neubauprojekt ""Wilhelmsaue 32"" im schönen Wilmersdorf - direkt vom Bauträger, keine Provision!***";Berlin;Wilmersdorf (Wilmersdorf);10713;Wilhelmsaue;32;380300.0;49.6;1.0;52.48553;13.31919;false;PURCHASE;NO;6;7667.3
104;106048992;"***Neubauprojekt ""Wilhelmsaue 32"" im schönen Wilmersdorf - direkt vom Bauträger, keine Provision!***";Berlin;Wilmersdorf (Wilmersdorf);10713;Wilhelmsaue;32;506300.0;70.69;3.0;52.48553;13.31919;false;PURCHASE;NO;6;7162.3
105;106048952;"***Neubauprojekt ""Wilhelmsaue 32"" im schönen Wilmersdorf - direkt vom Bauträger, keine Provision!***";Berlin;Wilmersdorf (Wilmersdorf);10713;Wilhelmsaue;32;367960.0;49.6;1.0;52.48553;13.31919;false;PURCHASE;NO;6;7418.5
106;106048565;"***Neubauprojekt ""Wilhelmsaue 32"" im schönen Wilmersdorf - direkt vom Bauträger, keine Provision!***";Berlin;Wilmersdorf (Wilmersdorf);10713;Wilhelmsaue;32;462150.0;73.98;2.0;52.48553;13.31919;false;PURCHASE;NO;6;6247.0
107;106048143;"***Neubauprojekt ""Wilhelmsaue 32"" im schönen Wilmersdorf - direkt vom Bauträger, keine Provision!***";Berlin;Wilmersdorf (Wilmersdorf);10713;Wilhelmsaue;32;723240.0;113.73;3.0;52.48553;13.31919;false;PURCHASE;NO;6;6359.3
108;106045783;"***Neubauprojekt ""Wilhelmsaue 32"" im schönen Wilmersdorf - direkt vom Bauträger, keine Provision!***";Berlin;Wilmersdorf (Wilmersdorf);10713;Wilhelmsaue;32;646540.0;94.47;3.0;52.48553;13.31919;false;PURCHASE;NO;6;6843.9
