;id;title;city;quarter;postcode;street;houseNo;purchase_price;rent_cold;qm;n_room;latitude;longitude;privateOffer;marketingType;hasCourtage;n_page_is24;rent_cold_per_qm
65;114123996;Aufregendes 2-Zimmer-Penthouse;Berlin;Wilmersdorf (Wilmersdorf);10711;Katharinenstraße;14;;1450.0;79.96;2.0;52.50084;13.29303;false;RENT;;4;18.1
66;115291013;Barrierefreie 4-Zimmer-Wohnung im Neubau;Berlin;Lichtenberg (Lichtenberg);10367;Bleckmannweg;7;;1550.88;116.0;4.0;52.51457;13.48374;false;RENT;;4;13.4
67;89770987;Friedrichshain - Rigaerstraße - Charmantes Singleappartement - EBK -  Tageslichtbad - 593 € warm;Berlin;Friedrichshain (Friedrichshain);10247;Proskauerstraße;13;;515.0;36.08;1.0;52.51763;13.4619;false;RENT;;4;14.3
68;115337627;INNSBRUCKER Str. + sehr sonnige u freundl. 8 Zimmer + im obersten 4. OG + Aufzug;Berlin;Schöneberg (Schöneberg);10825;Innsbrucker Str.;35;;2700.0;267.0;8.0;52.48029;13.34346;false;RENT;;4;10.1
69;115220078;Gemütliche 2 Zimmer Wohnung am Baumschulenweg! - modernes Bad - Dielen - ca. 70m² - 790 € + HK;Berlin;Baumschulenweg (Treptow);12437;Kiefholzstr.;188;;663.0;70.29;2.0;52.46471;13.48764;false;RENT;;4;9.4
70;114100400;Neubauwohnung zu vermieten im Herzen von Berlin;Berlin;Kreuzberg (Kreuzberg);10963;Hallesche Str.;6 a;;1250.0;60.0;2.0;52.50097;13.38479;false;RENT;;4;20.8
71;115337124;schöne remise höhe kastanienallee mit 2 terrassen 1 großer kamin u. EBK;Berlin;Prenzlauer Berg (Prenzlauer Berg);10435;;;;2498.0;135.68;2.0;;;false;RENT;;4;18.4
72;104363889;Treptow! Wassernähe! Helle 3-Zimmerwohnung -WG-taugl - Balkon - modernes Bad - ca. 81m² - 1099€ warm;Berlin;Plänterwald (Treptow);12437;Köpenicker Landstr.;272;;885.0;80.78;3.0;52.46672;13.49425;false;RENT;;4;11.0
73;115336435;Top 3 Zimmerwohnung;Berlin;Alt-Hohenschönhausen (Hohenschönhausen);13055;Gärtnerstr.;55;;799.0;76.05;3.0;52.54692;13.50223;false;RENT;;4;10.5
74;115336255;Helle 3 Zimmerwohnung mit Wintergarten;Berlin;Alt-Hohenschönhausen (Hohenschönhausen);13055;Gärtnerstr.;54;;899.0;84.24;3.0;52.54686;13.50263;false;RENT;;4;10.7
75;115250432;Möbliertes Apartment (direkter Wasserlage);Berlin;Konradshöhe (Reinickendorf);13505;;;;600.0;43.0;1.0;;;true;RENT;;4;14.0
76;114700700;Neubau 4 Zimmer Wohnung in Dahlem mit großer Loggia und Balkon;Berlin;Dahlem (Zehlendorf);14195;Clayallee;225;;3300.0;152.0;4.0;52.44962;13.26955;true;RENT;;4;21.7
77;114822680;Erstbezug: attraktive 4-Zimmer-Penthouse-Wohnung mit 2 Terrassen in Berlin-Mahlsdorf;Berlin;Mahlsdorf (Hellersdorf);12623;Pfarrhufenanger;24;;1430.0;125.0;4.0;52.51789;13.62446;true;RENT;;4;11.4
78;115214248;U-Residenzstraße! schöne 2 Zimmerwohnung - Laminat - Balkon - Badewanne - ca. 66m² - 665€ + HK;Berlin;Reinickendorf (Reinickendorf);13409;Residenzstraße;8;;564.0;65.77;2.0;52.57252;13.35899;false;RENT;;4;8.6
79;91496497;Luxuswohnung im Haus von Ralf Schmitz im Grunewald;Berlin;Schmargendorf (Wilmersdorf);14195;Goldfinkweg;40;;2938.0;113.0;3.0;52.46918;13.27347;false;RENT;;4;26.0
80;115220427;City West - Charmante 2,5 Zimmer mit günstigem Schnitt  - Laminat - EBK - Balkon - ca. 72 m² - 979 €;Berlin;Wilmersdorf (Wilmersdorf);10717;Pfalzburger Straße;33a;;788.0;71.71;2.5;52.49031;13.32096;false;RENT;;5;11.0
81;115043900;Möbliertes Design Apartment nahe Gendarmenmarkt -Maisonette-Klima-Sauna-offener Kamin-;Berlin;Mitte (Mitte);10117;Behrenstraße;28;;5981.0;225.0;5.0;52.51554;13.3896;false;RENT;;5;26.6
82;110595539;Sani-Neu! Singleappartment - hochwertiger Laminatfußboden - Duschbad-  - 40 m² -  559€ + HK;Berlin;Britz (Neukölln);12347;Germaniapromenade;22;;493.0;40.0;1.0;52.4607;13.43199;false;RENT;;5;12.3
83;105943305;Möbliertes Apartment in zentraler Lage;Berlin;Wedding (Wedding);13357;Koloniestr.;11/12;;670.0;26.0;1.0;52.55578;13.3778;false;RENT;;5;25.8
84;110624202;Sonnige  3-Zimmerwohnung-ideal für eine kleine Familie!;Berlin;Alt-Hohenschönhausen (Hohenschönhausen);13055;Gärtnerstr.;56;;879.0;81.83;3.0;52.54695;13.50207;false;RENT;;5;10.7
85;114228583;"6 Räume, 2 Balkone, neu renoviert - was will man mehr?
";Berlin;Lichtenrade (Tempelhof);12307;Prinzessinenstraße;31;;1618.87;147.17;6.0;52.38648;13.3948;false;RENT;;5;11.0
86;107963469;Schöne Dachgeschoss Wohnung;Berlin;Tiergarten (Tiergarten);10555;Alt-Moabit;46;;1544.0;96.5;3.0;52.52439;13.33148;false;RENT;;5;16.0
87;115248381;Luisenpark * Neubau * Erstbezug * Concierge * Zentral;Berlin;Mitte (Mitte);10179;Stallschreiber Straße;31;;940.0;49.3;2.0;52.50828;13.40586;false;RENT;;5;19.1
88;113353445;Kudammnähe - Erstbezug nach umfassender Sanierung in der Niebuhrstraße 61 - Aufzug-EBK-Parkett-Stuck;Berlin;Charlottenburg (Charlottenburg);10629;Niebuhrstraße;61;;2584.0;163.19;5.0;52.50426;13.31033;false;RENT;;5;15.8
89;115239104;zentral gelegenes Mikroapartment*Neubau*EBK*Parkett*Balkon*ruhige Lage in Berlin-Mitte;Berlin;Tiergarten (Tiergarten);10557;Spenerstraße;10;;901.0;28.9;1.0;52.52216;13.35291;false;RENT;;5;31.2
90;114687026;Schöner Wohnen an der Wuhlheide - Erstbezug im Neubau mit Balkon und Einbauküche;Berlin;Oberschöneweide (Köpenick);12459;An der Wuhlheide;228;;901.0;68.0;3.0;52.45571;13.5513;false;RENT;;5;13.2
91;115307093;Neu! Erstbezug in Berlin-Staaken! Tolle Wohnung mit hochw.Ausstattung in Grünlage! DG,EBK, Pk, Terr.;Berlin;Staaken (Spandau);13591;Metropolitan Park;62;;750.0;71.0;2.0;;;false;RENT;;5;10.6
92;114535364;Traumhafte 4-Zimmer-Wohnung im EG mit Terrasse und Privatgarten;Berlin;Pankow (Pankow);13187;Galenusstr.;63 B;;2151.66;153.69;4.0;52.5798;13.42153;false;RENT;;5;14.0
93;114668332;Zwischenmieter für 2-Zimmerwohnung in Oberschöneweide (max. 3 Jahre) | Verfügbar ab sofort;Berlin;Oberschöneweide (Köpenick);12459;Siemenstrasse;9;;545.0;45.15;2.0;52.46422;13.50938;false;RENT;;5;12.1
94;101477241;Lichtenberg! Schicke 2 Zimmerwohnung ca. 80 m² - Balkon - Tageslicht Wannenbad - 815 € warm;Berlin;Friedrichsfelde (Lichtenberg);10315;Alt-Friedrichsfelde;122;;662.0;62.81;2.0;52.51089;13.50717;false;RENT;;5;10.5
95;76025013;Klimatisiertes Penthouse am Ufer mit Dachterrasse vom Entwickler des Soho-House Hotels;Berlin;Kreuzberg (Kreuzberg);10967;Planufer;92b;;2499.0;125.28;3.0;52.49511;13.41754;true;RENT;;5;19.9
96;113968140;sehr schöne 3 zi.-whg mit 2 terrassen EBK 2 bäder aufzug u. TG;Berlin;Charlottenburg (Charlottenburg);10585;;;;1760.0;107.33;3.0;;;false;RENT;;5;16.4
97;114289429;schöne 2-zi-whg mit 2 terrassen, großen fenstern EBK u. aufzug erstbezug;Berlin;Prenzlauer Berg (Prenzlauer Berg);10435;;;;1998.0;79.05;2.0;;;false;RENT;;5;25.3
98;114289431;erstbezug. charmantes 3 zi-penthouse-maisonette mit 3 terrassen aufzug u. EBK;Berlin;Prenzlauer Berg (Prenzlauer Berg);10435;;;;2890.0;125.0;3.0;;;false;RENT;;5;23.1
99;114294891;schöne 3-zi-terrassen-whg mit großen fenstern EBK u. aufzug erstbezug;Berlin;Prenzlauer Berg (Prenzlauer Berg);10435;;;;2490.0;100.7;3.0;;;false;RENT;;5;24.7
